country,MXX2014,NXX2014,LXX2014,WSOCDISX2014
Afghanistan,33,21,34,22
Albania,5,4,6,0
Algeria,35,26,22,9
Andorra,1,0,6,1
Angola,11,2,9,3
Argentina,9,0,9,15
Armenia,38,3,9,21
Australia,2,1,5,13
Austria,14,2,4,17
Azerbaijan,24,46,6,8
Bahamas,5,1,3,0
Bahrain,22,17,24,15
Bangladesh,6,18,15,15
Barbados,0,4,4,2
Belarus,57,27,5,13
Belgium,13,4,7,27
Belize,1,2,7,0
Benin,0,1,5,1
Bhutan,24,11,15,2
Bolivia,7,12,8,3
Bosnia,20,4,13,24
Botswana,1,1,3,0
Brazil,5,3,5,13
Brunei,48,32,35,4
Bulgaria,30,16,7,23
Burkina Faso,0,1,5,0
Burundi,0,10,4,0
Cambodia,5,12,11,0
Cameroon,0,0,5,0
Canada,0,2,7,14
Cape Verde,1,4,5,0
Central African Republic,2,4,3,18
Chad,8,13,7,1
Chile,7,1,7,8
China,48,47,8,3
Colombia,2,2,6,5
Comoros,31,5,12,8
Congo-Brazzaville,0,4,4,0
Costa Rica,7,10,7,2
Croatia,11,3,11,23
Cuba,38,27,3,2
"Cyprus, Greek",9,6,7,11
"Cyprus, Turkish",14,8,6,5
Czech Republic,11,5,13,17
Denmark,10,17,17,10
Djibouti,0,22,13,6
Dominican Rep.,6,0,8,1
Ecuador,1,3,7,5
Egypt,46,29,28,62
El Salvador,5,9,3,0
Equatorial Guinea,1,15,5,0
Eritrea,29,22,5,1
Estonia,1,7,8,0
Ethiopia,14,14,8,7
Fiji,1,4,7,4
Finland,4,4,12,7
France,17,11,6,31
Gabon,2,1,5,0
Gambia,1,7,9,2
Gaza,19,18,30,19
Georgia,27,6,12,26
Germany,30,9,13,32
Ghana,2,9,10,1
Greece,23,11,15,22
Guatemala,5,6,7,4
Guinea,1,4,9,2
Guinea Bissau,0,6,4,0
Guyana,3,3,7,0
Haiti,3,12,9,4
Honduras,11,11,3,1
Hungary,13,3,12,12
Iceland,5,4,16,3
India,28,16,17,25
Indonesia,41,23,34,26
Iran,71,34,35,25
Iraq,24,4,26,41
Ireland,4,1,12,5
Israel,8,13,25,23
Italy,11,0,12,9
Ivory Coast,0,7,12,2
Jamaica,1,1,6,1
Japan,3,0,2,6
Jordan,34,26,31,10
Kazakhstan,44,36,4,7
Kenya,9,6,9,6
Kosovo,6,7,8,20
Kurdistan (Iraq),9,13,15,1
Kuwait,35,18,30,8
Kyrgyzstan,26,39,4,1
Laos,57,19,7,4
Latvia,14,8,10,3
Lebanon,14,4,21,20
Lesotho,0,2,5,0
Liberia,2,5,5,1
Libya,22,11,24,25
Liechtenstein,5,4,3,5
Lithuania,13,5,12,5
Luxembourg,2,7,6,1
Macedonia,18,18,3,2
Madagascar,11,8,5,2
Malawi,7,1,5,0
Malaysia,42,29,36,9
Maldives,66,33,27,2
Mali,1,4,6,0
Malta,2,2,10,4
Mauritania,25,15,17,0
Mauritius,2,1,5,0
Mexico,11,20,4,14
Moldova,16,16,8,16
Mongolia,10,2,3,5
Montenegro,9,5,8,3
Morocco,34,20,21,6
Mozambique,2,7,5,0
Myanmar (Burma),50,39,15,31
Namibia,0,3,3,0
Nepal,14,5,5,5
Netherlands,3,3,8,13
New Zealand,2,1,7,3
Nicaragua,5,8,9,0
Niger,0,16,5,0
Nigeria,21,12,21,26
North Korea,33,51,3,0
Norway,13,4,12,7
Oman,22,25,25,2
Pakistan,44,20,32,50
Palestinian Authority (West Bank),20,15,23,25
Panama,4,8,7,2
Papua New Guinea,1,5,7,0
Paraguay,7,6,7,0
Peru,7,5,11,1
Philippines,0,5,10,5
Poland,5,6,14,12
Portugal,3,9,6,1
Qatar,39,25,28,2
Romania,23,6,14,20
Russia,49,17,12,26
Rwanda,7,13,3,0
Saudi Arabia,80,41,46,11
Senegal,0,3,10,2
Serbia (Yugoslavia),16,5,12,6
Sierra Leone,0,4,6,0
Singapore,17,19,6,0
Slovak Republic,15,3,12,6
Slovenia,3,3,8,3
Solomon Islands,0,0,6,1
Somalia,15,7,18,10
South Africa,1,0,3,11
South Korea,0,3,4,4
South Sudan,1,0,3,1
Spain,10,2,9,6
Sri Lanka,10,1,16,26
Sudan,44,18,29,12
Suriname,1,2,4,0
Swaziland,2,2,9,2
Sweden,12,6,14,14
Switzerland,13,6,10,10
Syria,,,,
Taiwan,0,1,3,2
Tajikistan,12,47,6,1
Tanzania,2,10,10,1
Thailand,11,17,19,7
Timor,9,1,6,11
Togo,6,6,6,0
Trinidad & Tobago,1,5,8,0
Tunisia,27,32,14,18
Turkey,23,38,12,21
Turkmenistan,32,45,11,2
UAE,28,20,27,3
UK,9,10,13,18
USA,4,1,5,21
Uganda,12,5,6,3
Ukraine,9,15,5,16
Uruguay,0,1,2,5
Uzbekistan,47,57,9,1
Vanuatu,0,1,5,0
Venezuala,14,5,8,8
Vietnam,33,55,4,4
Western Sahara,34,20,21,4
Yemen,34,24,25,22
Zaire (Dem Rep Congo),1,3,5,0
Zambia,3,8,7,1
Zanzibar,5,12,9,18
Zimbabwe,3,10,9,2
