state,shootings,pop.2021,mental.health.spending,poverty.rate,HFR,universl,permit,rep.lean,no.lean,dem.lean,bach.degree.pct
Alabama,13,5039877,72.64,0.155,0.528,0,0,0.52,0.13,0.35,28.57960477
Alaska,1,733391,341.08,0.101,0.572,0,0,0.39,0.29,0.32,29.59649032
Arizona,3,7276316,205.23,0.135,0.36,0,0,0.4,0.21,0.39,30.03988188
Arkansas,5,3025891,45.56,0.162,0.518,0,0,0.46,0.16,0.38,26.35860107
California,36,39237836,160.5,0.118,0.163,1,1,0.3,0.21,0.49,38.20480929
Colorado,8,5812069,98.8,0.093,0.379,1,0,0.41,0.17,0.42,45.07296551
Connecticut,5,3605944,216.76,0.1,0.188,1,1,0.32,0.18,0.5,44.61133266
Delaware,1,989948,96.53,0.113,0.387,1,0,0.29,0.17,0.55,35.14313674
District of Columbia,5,689545,306.87,0.135,,,,0.11,0.15,0.73,70.40144784
Florida,22,21781128,,0.127,0.288,0,0,0.37,0.19,0.44,32.32259614
Georgia,12,10799566,59.33,0.133,0.377,0,0,0.41,0.18,0.41,34.98085564
Hawaii,1,1455271,131.77,0.093,0.091,1,1,0.28,0.2,0.51,35.61176329
Idaho,1,1839106,32.77,0.112,0.578,0,0,0.49,0.19,0.32,30.06500425
Illinois,17,12671469,72.44,0.115,0.226,0,1,0.33,0.19,0.48,42.44792181
Indiana,6,6805985,70.67,0.119,0.424,0,0,0.42,0.2,0.37,31.20816726
Iowa,1,3190369,142.38,0.112,0.385,1,1,0.41,0.19,0.4,36.00811882
Kansas,2,2937880,125.47,0.114,0.423,0,0,0.46,0.23,0.31,37.27933695
Kentucky,3,4505836,55.06,0.163,0.525,0,0,0.44,0.13,0.43,29.54891056
Louisiana,11,4624047,55.5,0.19,0.523,0,0,0.41,0.16,0.43,28.11315932
Maine,0,1362359,345.36,0.109,0.477,0,0,0.36,0.17,0.47,36.57027988
Maryland,8,6165129,178.82,0.09,0.167,1,1,0.31,0.14,0.55,44.22536802
Massachusetts,1,6984723,110.33,0.094,0.09,0,1,0.27,0.17,0.56,52.85900413
Michigan,14,10050811,130.1,0.13,0.389,1,1,0.34,0.19,0.47,34.36051378
Minnesota,6,5707390,177.88,0.09,0.391,0,0,0.39,0.15,0.46,43.48528719
Mississippi,7,2961279,55.95,0.196,0.541,0,0,0.44,0.14,0.42,22.68397277
Missouri,4,6168187,99.4,0.129,0.528,0,0,0.41,0.18,0.42,35.54892107
Montana,1,1084225,208.32,0.126,0.65,0,0,0.49,0.21,0.3,38.13096379
Nebraska,1,1961504,89.75,0.099,0.392,0,1,0.47,0.17,0.36,40.62975824
Nevada,4,3104614,89.41,0.125,0.329,0,0,0.37,0.18,0.46,25.38324103
New Hampshire,1,1377529,138.4,0.073,0.463,0,0,0.35,0.2,0.44,42.43037083
New Jersey,2,9267130,208.9,0.092,0.089,0,1,0.3,0.19,0.51,48.10039079
New Mexico,7,2117522,,0.182,0.359,0,0,0.37,0.15,0.48,25.53100293
New York,9,19835913,260.78,0.13,0.145,1,1,0.28,0.19,0.53,45.64886972
North Carolina,20,10551162,97.08,0.136,0.371,0,1,0.41,0.17,0.43,35.99380179
North Dakota,1,779094,88.53,0.106,0.533,0,0,0.5,0.18,0.33,36.64306024
Ohio,12,11780017,100.29,0.131,0.419,0,0,0.42,0.18,0.4,34.40992539
Oklahoma,3,3959353,53.01,0.152,0.549,0,0,0.45,0.15,0.4,27.33454573
Oregon,5,4237256,183.8,0.114,0.414,1,0,0.32,0.21,0.47,37.45025558
Pennsylvania,14,12964056,287.17,0.12,0.402,1,0,0.39,0.15,0.46,39.51658069
Rhode Island,1,1097379,106.11,0.108,0.139,1,1,0.3,0.22,0.48,40.45725065
South Carolina,9,5190705,58.35,0.138,0.45,0,0,0.43,0.18,0.39,31.97663267
South Dakota,1,886667,84.13,0.119,0.55,0,0,0.53,0.1,0.37,33.80965744
Tennessee,11,6975218,87.48,0.139,0.469,0,0,0.48,0.15,0.36,32.96641544
Texas,20,29527941,40.65,0.136,0.355,0,0,0.39,0.21,0.4,33.06202962
Utah,3,3271616,70.86,0.089,0.397,0,0,0.54,0.16,0.3,36.54102281
Vermont,0,643077,291.7,0.102,0.503,0,0,0.29,0.14,0.57,43.8029861
Virginia,7,8642274,92.58,0.099,0.353,0,0,0.43,0.18,0.39,43.51035683
Washington,8,7738692,113.67,0.098,0.321,1,0,0.33,0.23,0.44,39.91926247
West Virgina,0,1793716,94.44,0.16,0.6,0,0,0.43,0.16,0.41,25.97555902
Wisconsin,5,5895908,113.05,0.104,0.471,0,0,0.42,0.16,0.42,37.30221543
Wyoming,0,576851,118.8,0.101,0.607,0,0,0.57,0.18,0.25,29.80732228
